hw,lab,quiz,final,total
55.63,92.38,91.67,55.83,75.71
95.63,95.13,80,87.5,89.54
67.5,93,50,65.83,70.36
82.5,97.88,65,60,77.11
82.5,91.5,75,59.17,77.49
97.5,97,100,91.67,96.52
90.63,97.88,73.33,81.67,86.24
98.75,97.5,90,98.33,96.08
74.38,87.88,62.5,52.5,69.99
69.38,95.88,55,60.83,71.6
88.13,93.5,83.33,76.67,85.68
75.63,93,60,40.83,68.23
49.38,93,52.5,31.67,58.82
34.38,64,55,31.67,47.74
94.38,97.88,100,100,98.24
100,95.88,95,90.83,95.22
76.88,93,73.33,77.5,80.98
97.5,97.88,88.33,88.33,93.03
48.13,90.5,41.67,74.17,65.73
96.88,95.5,73.33,80,86.36
